,h3_index,n0,n1,n2,n3,n4,n5,waterbody_dist,waterway_dist,road_dist,hydro,index,theo_turbines,theo_pv,index_right_renamed,country,Vientiane road construction costs,Vientiane trucking transport and conversion costs,Vientiane trucking state,Vientiane pipeline transport and conversion costs,Vientiane trucking solar capacity,Vientiane trucking wind capacity,Vientiane trucking hydro capacity,Vientiane trucking electrolyzer capacity,Vientiane trucking battery capacity,Vientiane trucking H2 storage capacity,Vientiane trucking production cost,Ocean water costs,Freshwater costs,Lowest water cost,Vientiane trucking total cost,geometry,Vientiane trucking battery costs,Vientiane LCOH - trucking battery costs portion,Vientiane trucking electrolyzer costs,Vientiane LCOH - trucking electrolyzer portion,Vientiane trucking H2 storage costs,Vientiane LCOH - trucking H2 storage portion,Vientiane trucking wind costs,Vientiane LCOH - trucking wind portion,Vientiane trucking solar costs,Vientiane LCOH - trucking solar portion,Vientiane trucking hydro costs,Vientiane LCOH - trucking hydro portion
0,856496cbfffffff,803,169,232,86,487,551,0.0,0.0,0.0,,0,221.0,1776.0,92,Laos,0.0,0.4304885672551819,NH3,1.4817324232827231,341.39228814970824,0.0,0.0,124.0839879915668,91.2722328145983,912.4217196856224,9.46510321674022,0.009849,0.005691,0.005691,9.901282783995402,"POLYGON ((102.06741733030199 20.63736946764464, 102.04325700577044 20.72869572830948, 101.94593225775151 20.756506635415693, 101.8727970119773 20.692969356149895, 101.89701931115728 20.601620761543295, 101.99431498050033 20.573831723836864, 102.06741733030199 20.63736946764464))",2144160.4437110308,0.3761684988966721,12753001.336049195,2.237368655447227,2450718.4242514623,0.4299506007458706,0.0,0.0,36571026.78047066,6.415969610608888,0.0,0.0
1,856494d3fffffff,834,102,908,506,799,29,0.0,0.0,0.0,,1,628.0,3854.0,92,Laos,0.0,0.3730552768556671,NH3,0.9690845950749324,375.49517490400626,0.0,0.0,134.28292743204395,60.64605769518479,1568.592299345592,10.473494329472757,0.009849,0.005691,0.005691,10.852240606328424,"POLYGON ((101.79825574117909 19.272673280236287, 101.77410083385425 19.36472356257584, 101.67709809477618 19.3924181597974, 101.60428003870558 19.328039561140933, 101.62849578373854 19.23596864553454, 101.7254688462832 19.20829690579022, 101.79825574117909 19.272673280236287))",1424692.6361621134,0.24994607651966902,13801219.485836014,2.421266576462459,4213159.293785476,0.7391507532956976,0.0,0.0,40224236.38149093,7.056883575700163,0.0,0.0
2,85406597fffffff,899,140,927,287,590,696,0.0,0.0,0.0,,2,116.0,974.0,92,Laos,0.0,0.44563707304052924,NH3,1.6672318847479857,375.49517490400626,0.0,0.0,134.28292743204395,60.646057695184815,1568.592299345593,10.47349432947276,0.009849,0.005691,0.005691,10.924822402513291,"POLYGON ((102.04388344404138 21.06568011964546, 102.01968009173395 21.156760483542005, 101.92220835033176 21.184547900468573, 101.84896929778611 21.121233704294497, 101.87323474737973 21.030130948422023, 101.97067725181772 21.002364724127826, 102.04388344404138 21.06568011964546))",1424692.636162114,0.24994607651966913,13801219.485836014,2.421266576462459,4213159.293785479,0.739150753295698,0.0,0.0,40224236.38149093,7.056883575700163,0.0,0.0
3,8565924ffffffff,353,380,567,768,544,367,11.131949,0.0,0.0,,3,628.0,3574.0,92,Laos,0.0,0.517080822847787,NH3,2.1607977535258973,353.3061210422603,0.0,0.0,124.3806121880396,78.97493975174656,1710.0801346587768,10.019875670931192,0.009849,0.005691,0.005691,10.54264749377898,"POLYGON ((106.6847727581285 15.915592842785719, 106.66284507919748 16.00842306346487, 106.56948686934024 16.03785515105577, 106.49807003490524 15.974412026833557, 106.52006624119439 15.881542585963507, 106.61341082267288 15.852155443986424, 106.6847727581285 15.915592842785719))",1855273.357934912,0.3254865540236688,12783487.532013332,2.242717110879532,4593188.437468018,0.8058225328891261,0.0,0.0,37847274.41961039,6.639872705194805,0.0,0.0
4,85414ab7fffffff,403,721,161,785,595,90,11.131949,0.0,0.0,,4,0.0,0.0,92,Laos,0.0,0.42869254180484384,NH3,1.4597393793128104,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((103.61921041752625 20.522663101326334, 103.5956664792442 20.613994159206147, 103.49909399483998 20.642590446096033, 103.42608957844 20.5798284197638, 103.44969868856808 20.48846885140747, 103.54624713344003 20.459899766276216, 103.61921041752625 20.522663101326334))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,85414837fffffff,363,847,646,510,712,860,11.131949,0.0,0.0,,5,182.0,2115.0,92,Laos,0.0,0.3847129911208147,NH3,1.1118379298752865,325.83467253612014,0.0,0.0,118.83570464221312,51.542029319253146,2590.9589065024275,9.705446891836127,0.009849,0.005691,0.005691,10.095850882956942,"POLYGON ((103.08314998199243 19.835062572664935, 103.05944617820747 19.92678695181878, 102.96282885677262 19.955108696539117, 102.88994109434535 19.891679530997624, 102.91370869803562 19.79992902025987, 103.01030035690275 19.771633752377095, 103.08314998199243 19.835062572664935))",1210821.4847710053,0.21242482188965006,12213597.6172485,2.1427364240786844,6959184.104946266,1.220909492095836,0.0,0.0,34904445.55706793,6.123586939836479,0.0,0.0
6,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,91,Other,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,85649403fffffff,229,600,57,525,0,0,11.131949,0.0,0.0,,6,0.0,0.0,92,Laos,0.0,0.39017970457820106,NH3,1.1787800043412007,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((101.2157697929435 19.43820219160079, 101.1913848087409 19.530175180697757, 101.09410591379758 19.5575814991371, 101.02124366121846 19.49299421899828, 101.04568824117904 19.401002898301943, 101.14293558028396 19.37361713247052, 101.2157697929435 19.43820219160079))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8564b39bfffffff,844,309,652,15,158,0,11.131949,0.0,0.0,,7,92.0,836.0,92,Laos,0.0,0.3511823150919535,NH3,0.8918870947700669,346.77499029977963,0.0,0.0,128.17280582377998,66.19921839457176,1481.4089294923756,9.804973785526101,0.009849,0.005691,0.005691,10.161847100618056,"POLYGON ((101.24118134556713 17.97821079710538, 101.2169200082441 18.070861548922355, 101.12010660332652 18.098294146004122, 101.0475858162357 18.03305327530601, 101.07190625038167 17.94038496887214, 101.1686884755571 17.91297503145316, 101.24118134556713 17.97821079710538))",1555147.0705724417,0.272832819398674,13173238.46834237,2.31109446813024,3978989.18781603,0.6980682785642157,0.0,0.0,37147638.939897165,6.51712963857845,0.0,0.0
9,85416a67fffffff,159,457,800,683,225,788,0.0,0.0,0.0,,8,0.0,0.0,92,Laos,0.0,0.3939663280333731,NH3,1.2251487103812106,0.0,0.0,0.0,0.0,0.0,0.0,,0.009849,0.005691,0.005691,,"POLYGON ((104.89960852263748 18.61048260282761, 104.87673160381827 18.702637000705355, 104.78144830517138 18.73173099005392, 104.70906162632127 18.66863606537924, 104.73200531103377 18.576448573633677, 104.8272689896812 18.547389050302414, 104.89960852263748 18.61048260282761))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
